FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,STATE,LATITUDE,LONGITUDE,OWNER_DESCR,MONTH,MONTH_NAME,CAUSE_TYPE,SIZE_CLASS_LABEL
2000,199,Arson,10,C,AL,33.9078,-87.6272,MISSING/NOT SPECIFIED,7,Jul,Human,C: 10-99.9 acres
2002,148,Debris Burning,0.1,A,AK,59.7292,-151.3276,MISSING/NOT SPECIFIED,5,May,Human,A: <0.25 acres
2006,253,Arson,5,B,MS,32.5047,-88.9097,MISSING/NOT SPECIFIED,9,Sep,Human,B: 0.25-9.9 acres
1995,61,Railroad,0.14,A,GA,32.5097,-82.9656,PRIVATE,3,Mar,Human,A: <0.25 acres
2007,195,Lightning,0.1,A,OR,43.15333333,-122.83527778,USFS,7,Jul,Natural,A: <0.25 acres
2002,303,Equipment Use,0.1,A,CA,39.56,-121.605,MISSING/NOT SPECIFIED,10,Oct,Human,A: <0.25 acres
2011,271,Lightning,2,B,AR,34.02734,-93.42095,PRIVATE,9,Sep,Natural,B: 0.25-9.9 acres
1992,117,Arson,1,B,CO,39.35246,-104.95154,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2001,311,Railroad,0.67,B,GA,34.2757,-84.4472,MISSING/NOT SPECIFIED,11,Nov,Human,B: 0.25-9.9 acres
1992,287,Smoking,3,B,CA,39.85333333,-120.275,USFS,10,Oct,Human,B: 0.25-9.9 acres
1992,182,Campfire,0.5,B,AZ,34.35,-110.71666667,USFS,6,Jun,Human,B: 0.25-9.9 acres
1997,152,Debris Burning,0.1,A,AZ,34.36166667,-111.365,STATE OR PRIVATE,5,May,Human,A: <0.25 acres
1993,184,Missing/Undefined,16,C,SC,33.525,-79.87083333,MISSING/NOT SPECIFIED,7,Jul,Human,C: 10-99.9 acres
2001,321,Debris Burning,1.63,B,GA,32.5439,-82.905,PRIVATE,11,Nov,Human,B: 0.25-9.9 acres
2010,72,Campfire,72.6,C,LA,30.8218,-93.4611,MISSING/NOT SPECIFIED,3,Mar,Human,C: 10-99.9 acres
2007,182,Lightning,1.5,B,FL,29.11917001,-82.62806,MISSING/NOT SPECIFIED,6,Jun,Natural,B: 0.25-9.9 acres
2005,114,Debris Burning,0.2,A,TX,26.215,-98.36805556,PRIVATE,4,Apr,Human,A: <0.25 acres
2005,61,Arson,12,C,AL,30.815451,-87.74206,MISSING/NOT SPECIFIED,3,Mar,Human,C: 10-99.9 acres
2001,144,Miscellaneous,0.1,A,MS,31.3192,-90.3556,MISSING/NOT SPECIFIED,5,May,Human,A: <0.25 acres
1992,199,Lightning,0.01,A,OR,42.29691,-123.4582,BLM,7,Jul,Natural,A: <0.25 acres
2009,131,Debris Burning,0.1,A,WI,46.06861111,-89.10916667,STATE OR PRIVATE,5,May,Human,A: <0.25 acres
1998,167,Lightning,0.2,A,SD,43.2139,-102.7838,BIA,6,Jun,Natural,A: <0.25 acres
1998,41,Equipment Use,0.5,B,FL,30.14,-83.12,MISSING/NOT SPECIFIED,2,Feb,Human,B: 0.25-9.9 acres
2005,68,Missing/Undefined,8,B,OK,34.8047,-94.8406,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
2001,190,Lightning,0.01,A,OR,42.08801,-121.96541,MISSING/NOT SPECIFIED,7,Jul,Natural,A: <0.25 acres
1992,211,Debris Burning,2,B,NC,34.825,-79.5583,MISSING/NOT SPECIFIED,7,Jul,Human,B: 0.25-9.9 acres
2006,220,Debris Burning,40,C,MS,33.7581,-88.4817,MISSING/NOT SPECIFIED,8,Aug,Human,C: 10-99.9 acres
2007,212,Campfire,0.5,B,ID,43.43111111,-111.15222222,USFS,7,Jul,Human,B: 0.25-9.9 acres
2000,208,Miscellaneous,160,D,CA,37.00404727,-120.71737999,OTHER FEDERAL,7,Jul,Human,D: 100-299 acres
2001,134,Debris Burning,0.3,B,NC,34.6,-78.1167,MISSING/NOT SPECIFIED,5,May,Human,B: 0.25-9.9 acres
2015,89,Debris Burning,3,B,TN,35.180633,-87.308883,PRIVATE,3,Mar,Human,B: 0.25-9.9 acres
1994,25,Arson,0.07,A,GA,30.8295,-81.9993,PRIVATE,1,Jan,Human,A: <0.25 acres
2011,142,Debris Burning,1.2,B,GA,33.28815155,-84.53651349,PRIVATE,5,May,Human,B: 0.25-9.9 acres
2014,100,Arson,0.5,B,WI,43.76933,-89.17558,PRIVATE,4,Apr,Human,B: 0.25-9.9 acres
2014,57,Miscellaneous,0.1,A,SD,43.2458,-101.1056,TRIBAL,2,Feb,Human,A: <0.25 acres
2012,80,Arson,1,B,SC,33.701191,-80.290131,PRIVATE,3,Mar,Human,B: 0.25-9.9 acres
2000,21,Miscellaneous,0.1,A,MS,30.8569,-89.6261,MISSING/NOT SPECIFIED,1,Jan,Human,A: <0.25 acres
2004,97,Miscellaneous,0.1,A,GA,31.15057967,-81.57387009,MISSING/NOT SPECIFIED,4,Apr,Human,A: <0.25 acres
2003,279,Debris Burning,0.1,A,WA,45.97635,-121.04832,PRIVATE,10,Oct,Human,A: <0.25 acres
1997,109,Arson,2.3,B,TN,35.915,-87.8267,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
1998,205,Lightning,1.2,B,UT,37.22916,-111.05029,NPS,7,Jul,Natural,B: 0.25-9.9 acres
2015,64,Arson,25,C,KS,37.83,-96.29,MISSING/NOT SPECIFIED,3,Mar,Human,C: 10-99.9 acres
2006,219,Arson,0.1,A,CA,41.0446,-123.6664,BIA,8,Aug,Human,A: <0.25 acres
1996,253,Campfire,0.1,A,CA,35.755,-120.88,MISSING/NOT SPECIFIED,9,Sep,Human,A: <0.25 acres
2000,56,Debris Burning,24.86,C,GA,31.4639,-82.3774,PRIVATE,2,Feb,Human,C: 10-99.9 acres
1996,230,Missing/Undefined,0.25,A,WY,44.59968185,-106.29100038,MISSING/NOT SPECIFIED,8,Aug,Human,A: <0.25 acres
2015,108,Miscellaneous,1.7,B,NY,41.5244,-74.0702,PRIVATE,4,Apr,Human,B: 0.25-9.9 acres
